2005	10	56.805
2005	11	53.663
2005	12	57.21
2006	1	55.59
2006	2	55.716
2006	3	59.032
2006	4	67.406
2006	5	52.05
2006	6	54.39
2006	7	63.602
2006	8	62.324
2006	9	48.47
2006	10	55.048
2006	11	56.011
2006	12	64.733
2007	1	58.997
2007	2	59.837
2007	3	68.193
2007	4	67.825
2007	5	51.817
2007	6	58.811
2007	7	67.659
2007	8	72.537
2007	9	57.955
2007	10	62.868
2007	11	67.851
2007	12	77.723
2008	1	71.262
2008	2	73.004
2008	3	81.204
2008	4	69.889
2008	5	63.612
2008	6	61.37
2008	7	70.713
2008	8	76.614
2008	9	55.007
2008	10	58.956
2008	11	66.161
2008	12	78.982
2009	1	69.225
2009	2	67.107
2009	3	67.456
2009	4	71.621
2009	5	61.479
2009	6	63.117
2009	7	75.231
2009	8	75.22
2009	9	55.162
2009	10	63.252
2009	11	67.848
2009	12	75.905
2010	1	71.24
2010	2	67.672
2010	3	77.204
2010	4	69.157
2010	5	64.383
2010	6	60.173
2010	7	75.2445
2010	8	73.23
2010	9	58.46
2010	10	67.034
2010	11	63.242
2010	12	77.662
2011	1	74.554
2011	2	68.679
2011	3	76.862
2011	4	79.495
2011	5	65.106
2011	6	67.889
2011	7	80.875
2011	8	79.305
2011	9	63.587
2011	10	64.961
2011	11	66.552
2011	12	81.108
2012	1	71.639
2012	2	72.381
2012	3	80.63
2012	4	77.984
2012	5	65.792
2012	6	72.915
2012	7	80.666
2012	8	83.477
2012	9	69.538
2012	10	65.629
2012	11	73.212
2012	12	90.071
2013	1	75.751
2013	2	74.049
2013	3	89.844
2013	4	76.021
2013	5	72.746
2013	6	76.964
2013	7	87.694
2013	8	88.289
2013	9	72.631
2013	10	76.681
2013	11	88.296
2013	12	100.29
2014	1	82.887
2014	2	78.979
2014	3	83.131
2014	4	84.079
2014	5	78.087
2014	6	82.708
2014	7	95.952
2014	8	102.048
2014	9	84.509
2014	10	92.649
2014	11	97.199
2014	12	109.854
2015	1	100.914
2015	2	89.991
2015	3	103.506
2015	4	99.604
2015	5	87.691
2015	6	87.447
2015	7	109.251
2015	8	111.471
2015	9	97.263
2015	10	109.024
2015	11	110.307
2015	12	118.466
2016	1	104.072
2016	2	96.185
2016	3	109.998
2016	4	98.823
2016	5	80.964
2016	6	86.697
2016	7	99.418
2016	8	96.319
2016	9	77.323
2016	10	76.491
2016	11	78.622
2016	12	97.042
2017	1	89.269
2017	2	84.163
2017	3	90.133
2017	4	96.915
2017	5	80.975
2017	6	85.288
2017	7	102.272
2017	8	90.798
2017	9	77.644
2017	10	81.483
2017	11	86.064
2017	12	105.544
2018	1	91.471
2018	2	85.017
2018	3	98.467
2018	4	88.115
2018	5	85.43
2018	6	91.877
2018	7	101.386
2018	8	91.534
2018	9	76.017
